fecha,valor_credito_ingenieria_pesos,ipc_mensual_nacion
01/03/2014,248,2.6
01/04/2014,248,1.8
01/05/2014,248,1.4
01/06/2014,248,1.3
01/07/2014,280,1.4
01/08/2014,280,1.3
01/09/2014,280,1.4
01/10/2014,280,1.2
01/11/2014,280,1.1
01/12/2014,280,1.0
01/01/2015,280,1.1
01/02/2015,280,0.9
01/03/2015,364,1.3
01/04/2015,364,1.1
01/05/2015,364,1.0
01/06/2015,364,1.0
01/07/2015,387,1.3
01/08/2015,387,1.2
01/09/2015,387,1.2
01/10/2015,387,1.1
01/11/2015,387,
01/12/2015,387,
01/01/2016,387,
01/02/2016,387,
01/03/2016,496,
01/04/2016,496,
01/05/2016,496,4.2
01/06/2016,496,3.1
01/07/2016,524,2.1
01/08/2016,,0.2
01/09/2016,,1.2
01/10/2016,,2.4
01/11/2016,,1.6
01/12/2016,,1.2
01/01/2017,,1.3
01/02/2017,,2.5
01/03/2017,,2.4
01/04/2017,,2.7
01/05/2017,,1.4
01/06/2017,,1.2
01/07/2017,,1.7
01/08/2017,,1.4
01/09/2017,,1.9
01/10/2017,,1.5
01/11/2017,,1.4
01/12/2017,,3.1
01/01/2018,,1.8
01/02/2018,,2.4
01/03/2018,815,2.3
01/04/2018,815,2.7
01/05/2018,815,2.1
01/06/2018,815,3.7
01/07/2018,909,3.1
01/08/2018,909,3.9
01/09/2018,909,6.5
01/10/2018,909,5.4
01/11/2018,909,3.2
01/12/2018,909,2.6
01/01/2019,909,2.9
01/02/2019,909,3.8
01/03/2019,1182,4.7
01/04/2019,1182,3.4
01/05/2019,1182,3.1
01/06/2019,1182,2.7
01/07/2019,1325,2.2
01/08/2019,1325,4.0
01/09/2019,1325,5.9
01/10/2019,1325,3.3
01/11/2019,1325,4.3
01/12/2019,1458,3.7
01/01/2020,1458,2.3
01/02/2020,1458,2.0
01/03/2020,1823,3.3
01/04/2020,1823,1.5
01/05/2020,1823,1.5
01/06/2020,1823,2.2
01/07/2020,1823,1.9
01/08/2020,1823,2.7
01/09/2020,1823,2.8
01/10/2020,1823,3.8
01/11/2020,2097,3.2
01/12/2020,2097,4.0
01/01/2021,2097,4.1
01/02/2021,2097,3.6
01/03/2021,2727,4.8
01/04/2021,2727,4.1
01/05/2021,2727,3.3
01/06/2021,2727,3.2
01/07/2021,3147,3.0
01/08/2021,3147,2.5
01/09/2021,3147,3.6
01/10/2021,3147,3.5
01/11/2021,3147,2.5
01/12/2021,3147,3.8
01/01/2022,3147,3.9
01/02/2022,3147,4.7
01/03/2022,3934,6.7
01/04/2022,3934,6.1
01/05/2022,4250,5.1
01/06/2022,4250,5.3
01/07/2022,4250,7.4
01/08/2022,5313,7.0
01/09/2022,5313,6.2
01/10/2022,6375,6.4
01/11/2022,6375,4.9
01/12/2022,6375,5.1
01/01/2023,6375,6.0
01/02/2023,6375,6.6
01/03/2023,8606,7.7
01/04/2023,8606,8.4
01/05/2023,9898,7.8
01/06/2023,9898,6.0
01/07/2023,9898,6.3
01/08/2023,13362,12.4
01/09/2023,13362,12.7
01/10/2023,16034,8.3
01/11/2023,16034,12.8
01/12/2023,16034,25.5
01/01/2024,20043,20.6
01/02/2024,20043,13.2
01/03/2024,33071,11.0
01/04/2024,33071,8.8
01/05/2024,39685,4.2
01/06/2024,39685,
01/07/2024,43654,
